標題	小巧美型的 ZENFONE 4 完整的 開箱&評測(圖多慎入)(BUG回報)
id50713809	更新後問題好像變多了，已反應看何時改善
id50716517	aa8998wrote:~~前言~~千呼萬喚...(恕刪)感謝~5分奉上
id50719423	不知道他的電池跟Padfonemini4"+7"的手機可不可以通用!?要不然Padfonemini4"電量太小...
id50720094	aa8998wrote:~~前言~~千呼萬喚...(恕刪)寫的挺詳細的，謝謝分享
id50720807	aa8998wrote:~~前言~~千呼...(恕刪)感謝分享
id50720930	以入手zenfone5考慮在入手一支zenfone4給我女兒
id50723279	給女兒用應該很足夠了，只要能接受4吋螢幕，以流暢度來講，這隻手機已經很足夠了
id50723568	一隻手可以掌握是不錯可是那個正面相機怎麼不加強一下!?太可惜...
id50733744	請教,Zenfone4的背蓋究竟要怎麼開?Zenfone5的背蓋已經不大好開了，剛收到新買的Zenfone4，全家四人輪流接力已經快一小時了，竟然還是打不開！？怎麼會把消費性產品設計成這麼有挑戰性？指甲好痛ing...
id50736485	ruian.stwrote:請教,Zenfon...(恕刪)這有訣竅,請把背蓋凹槽朝上,螢幕朝左,左手抓住手機下方,右手嵌入凹槽用力一剝就開了
id50738515	我個人是學手機剛入手時背蓋上有張開蓋教學小紙，一樣的拿法就可以打開
id50738823	請問有zenfone4的機友，可以幫忙測試嗎?我手上的手機，在使用音量鍵(待機黑屏中，連按兩次音量鍵可快速打開相機)有時連按兩次...會沒有反應，有時候又有今天跑去順發問，現場當場拆一支新機來試結果也是一樣想問有買4的朋友們會這樣嗎?
id50740995	Alvin0207wrote:請問有zenfone...(恕刪)我的是都不會開啟相機但有時又會給我自動亂拍照還給我亂自動撥號20幾通通訊錄變簡體亂碼耗電兇充電慢用一星期就不想用了
id50746416	我目前測試按兩下音量鍵啟動相機這功能通常只有開啓設定後第一次成功之後都沒反應，原廠又多個BUG要休嘍耗電量部份到覺得很OK，中歸中矩
id50746773	感謝大大做這麼詳細的介紹~順便請問一下這支手機的SIM卡規格是...?
id50747243	恩這樣看來應該是原廠bug的問題謝謝你的測試啦~
id50747250	跟iphone4s一樣是mircosim不是最小的那種唷
id50748363	我在馬來西亞也入手了一只黑色zenfone48G/1G，配兩顆1200mAh電池，用了還不錯。
id50748609	Renkeywrote:可惜啊可惜沒有簡易模式，不然就是老媽換智慧機的首選。就算有簡易模式,很多人老媽換智慧機的首選應該還是zenfone5吧!4吋螢幕實在不大.
id50749017	Alvin0207wrote:我手上的手機，在使用音量鍵(待機黑屏中，連按兩次音量鍵可快速打開相機)有時連按兩次...會沒有反應，有時候又有我的ZF5試了幾次,倒是沒這問題
id50751021	比較推薦padfoneminiPF400啦zenfone4根本推出來搞笑的還要賣3290M210還比較划算，而且infocusUI並沒有輸zenui太多，至少m210有簡易模式zenfone4螢幕可視角快把我弄瞎了
id50751138	Renkeywrote:可惜啊可惜沒有簡易模式，不然就是老媽換智慧機的首選。不知道Asus在想什麼。GooglePlay有相關的APP可以用,URL:https://play.google.com/store/apps/details?id=com.mdbs.olderman&hl;=zh-TW
id50753573	已經在首文最底下新增BUG收集回報請各位版有有線任何BUG請提供一下~好統整給原廠進行改善
id50753980	我在第一天就買了,心得是運作算很順暢,但惟一不好的地方是很耗電.開啟智慧省電模式,光待機什麼都不作,1小時約耗電4~5%的電力.
id50755488	耗電部份我待機1~2小時1%你的會這麼耗電可能是你收訊極差。或是有灌到某個軟體在背景不斷的運作吃電歐，建議到設定->電源管理->耗電統計表去抓原因
id50755799	很困擾,像電量統計中,Google+和DRM保護內容儲存空間一直都是佔前二名,不知怎麼解?
id50756153	個人初淺的建議你可以嘗試系統還原的方式看看DRM保護會不會降低因為我的事GOOGLE服務架構比DRM保護耗電量高歐還有GOOGLE+如果有再用耗電是正常如果沒再用有幾個解法1.就把它砍了吧2.砍不掉就去停用3.一樣耗電統計這邊點選GOOGLE+進去詳細使用狀況底下有個防止裝喚醒裝置以及防止裝置保持清醒這兩個選項打勾試試看
id50756376	我再試試看囉,感謝.原本想說4吋的會比較省電一些,結果比其他手機還耗電.我自己HTCM7/S3/S4,安裝的APP都差不多,只有幾個通訊軟體和蘋果日報,但這支手機耗電量大得嚇人.
id50759320	可以請樓主幫個忙，量一下1600mA的電池尺寸嗎？我想看看Padfonemini能不能用。感謝
id50780082	請問大家使用時會不會不時跑出google搜尋？
id50781075	可以請樓主幫個忙，量一下1600mA的電池尺寸嗎？我想看看Padfonemini能不能用。感謝+1在下也需要^^
id50787837	不好意思前兩天在忙今天才看到你的問題剛剛幫你丈量了一下電池約7.6x4cm希望對你有幫助
id50792074	拔掉充電線後，充電指示燈仍亮著，且電池狀態為充電中，半個小時後還是一樣的狀態(電量持續減少)，這算是bug嗎？6/21買的，還沒一個星期....
id50793784	vivi2227wrote:請問大家使用時會不會...(恕刪)您是說喚醒螢幕時候嗎?是的話我也有這困擾...
id50803869	請問ZenFone4下面那三顆按鈕是不是都不會亮?因為我今天剛買的手機都沒亮想問這樣是不是正常?
id50819043	底下三個按鍵不會亮正常歐ZENFONE系列因為是平價路線~所以都不會亮歐各位朋友快去更新CHT4.3.5版本這版本有修正FB的問題摟可以正常使用FB還有修正相機快速啟動異常的問題現在我的音量鍵快速啟動很正常還有不知道是不是我錯覺桌面有變順因該也會變穩因為還有更新ZENUI
id50821734	這支玩龍族拼圖和lovelive能順跑嗎希望有人能分享一下心得有點想買一支隨身帶
id50852765	roger888889wrote:這支玩龍族拼圖和lovelive能順跑嗎剛剛幫你測試過了~這兩個GAME跑的很順
id53643034	請問ZENFONE4有背蓋跟正面保護套合一的配件嗎，原廠客服說沒有，露天和淘寶也找不到。(就是保護套的底部就也是手機的背蓋兩者合一)
id53644359	據我所知是沒有歐，因為zf之沒有和5。6一樣的磁感應故功能，所以沒有開發那樣的背蓋
id53748302	請問ZF4可以用亞太的卡嗎?!我在拍賣有看過...但就是不確定==aa8998wrote:~~前言~~千呼萬喚...(恕刪)
